LocalityID,GENERATION,FISHGROUP,RegionName,GrossWeightPrDay,MortalityByInputCount,EconomicFCR,InputCount,HarvestSuperiorGrossBiomass_KGRatio,EndWeightGross,TemperatureBackfill3m
14401,SS16,16.00.002,Finnmark,0.00916,0.205527,1.23901,132056.98,0.722766,6.5343958,6.419198
14401,SS16,16.00.011,Finnmark,0.00396,0.37102,1.158718,192248.97,0.377965,3.0222366,5.899165
14401,SS16,16.00.009,Finnmark,0.009377,0.187275,1.261739,129510.99,0.513364,6.1298426,6.512652
14401,SS16,16.00.012,Finnmark,0.003973,0.298815,1.458672,121845.99,0.351804,3.0259397,5.864347
14401,SS16,16.00.013,Finnmark,0.002467,0.371367,2.938784,122238.99,0.340914,2.2804363,5.875524
14401,SS18,18.01.001,Finnmark,0.006645,0.150591,1.052653,198976.96,0.972183,4.5860562,6.181196
14401,SS18,18.0A.001,Finnmark,0.005161,0.187629,1.538872,216374.16,0.755181,4.2305344,5.503645
14402,SS16,16.00.004,Finnmark,0.009605,0.097685,1.393022,138936.97,0.848291,6.7901513,6.882199
14402,SS16,16.00.007,Finnmark,0.009674,0.096871,1.268182,139488.96,0.865543,6.9702036,6.920351
14402,SS16,16.00.010,Finnmark,0.010304,0.24871,1.283886,139087.97,0.802767,7.2064404,6.921485
14402,SS16,16.00.001,Finnmark,0.012383,0.407908,1.272938,127951.98,0.704814,8.3478804,6.918237
14402,SS16,16.00.013,Finnmark,0.008838,0.190967,1.354833,132264.97,0.633269,5.7988336,7.034257
14402,SS16,16.00.018,Finnmark,0.007158,0.24478,1.405449,123046.97,0.37639,4.8444847,6.875361
14402,SS16,16.00.015,Finnmark,0.00694,0.229943,1.447446,132413.96,0.317627,4.6297115,6.906792
14402,SS16,16.00.014,Finnmark,0.006701,0.292286,1.446796,130521.97,0.358912,4.7528938,6.796544
14402,SS18,18.01.013,Finnmark,0.007725,0.131966,1.297219,131052.98,0.699968,5.4278886,6.560179
